  PERMNO        date           amzn        vwretd        ewretd        sprtrn
   84788    20090102       0.060062      0.030501      0.038274      0.031608
   84788    20090105      -0.005519     -0.000579      0.016764     -0.004668
   84788    20090106       0.061043      0.011298      0.033647      0.007817
   84788    20090107      -0.020223     -0.030489     -0.022271     -0.030010
   84788    20090108       0.017082      0.006284      0.011896      0.003397
   84788    20090109      -0.028866     -0.022409     -0.018748     -0.021303
   84788    20090112      -0.064673     -0.025559     -0.026589     -0.022564
   84788    20090113      -0.009052      0.003514      0.003554      0.001758
   84788    20090114      -0.057532     -0.035197     -0.035065     -0.033460
   84788    20090115       0.060837      0.004632      0.005630      0.001329
   84788    20090116       0.002916      0.008440      0.008792      0.007562
   84788    20090120      -0.061058     -0.055272     -0.051506     -0.052816
   84788    20090121       0.043353      0.043227      0.036151      0.043491
   84788    20090122      -0.011872     -0.018218     -0.021960     -0.015162
   84788    20090123       0.013817      0.006842      0.003373      0.005378
   84788    20090126      -0.019751      0.006132      0.010067      0.005553
   84788    20090127      -0.023977      0.011296      0.010037      0.010926
   84788    20090128       0.039637      0.033780      0.030523      0.033558
   84788    20090129      -0.007149     -0.032822     -0.028890     -0.033120
   84788    20090130       0.176400     -0.020768     -0.012829     -0.022789
   84788    20090202       0.039612     -0.001067      0.001559     -0.000533
   84788    20090203       0.039902      0.014356      0.008983      0.015834
   84788    20090204      -0.039786     -0.004439     -0.004053     -0.007489
   84788    20090205       0.034720      0.015526      0.011978      0.016366
   84788    20090206       0.053340      0.027933      0.026723      0.026896
   84788    20090209       0.002404      0.001233      0.000768      0.001485
   84788    20090210      -0.050967     -0.045996     -0.035051     -0.049121
   84788    20090211       0.016490      0.007304      0.004636      0.007955
   84788    20090212      -0.006122      0.002613     -0.000766      0.001739
   84788    20090213      -0.010944     -0.008815     -0.002111     -0.009998
   84788    20090217      -0.025134     -0.045266     -0.041883     -0.045559
   84788    20090218       0.011026     -0.003762     -0.011621     -0.000950
   84788    20090219      -0.006415     -0.011169     -0.015135     -0.012024
   84788    20090220       0.030831     -0.011763     -0.020020     -0.011413
   84788    20090223      -0.033667     -0.036124     -0.030842     -0.034699
   84788    20090224       0.063037      0.040182      0.037750      0.040103
   84788    20090225      -0.028811     -0.010665     -0.015518     -0.010658
   84788    20090226      -0.021504     -0.012146     -0.007036     -0.015780
   84788    20090227       0.039301     -0.019050     -0.010451     -0.023564
   84788    20090302      -0.043217     -0.049809     -0.055698     -0.046620
   84788    20090303      -0.004678     -0.006326     -0.013924     -0.006407
   84788    20090304       0.050405      0.025902      0.029680      0.023753
   84788    20090305      -0.000617     -0.041835     -0.049091     -0.042532
   84788    20090306      -0.047553      0.001617     -0.002234      0.001216
   84788    20090309      -0.019452     -0.011360     -0.016324     -0.010024
   84788    20090310       0.086295      0.063380      0.062630      0.063663
   84788    20090311       0.043068      0.004059      0.005505      0.002446
   84788    20090312       0.015174      0.041914      0.051270      0.040729
   84788    20090313      -0.013653      0.006025      0.009588      0.007739
   84788    20090316      -0.024042     -0.004790      0.001275     -0.003516
   84788    20090317       0.065243      0.031009      0.030369      0.032140
   84788    20090318      -0.001402      0.022361      0.034165      0.020858
