caldt,vwretd
1963/07/01,-0.006953
1963/07/02,0.008608
1963/07/03,0.006724
1963/07/05,0.004078
1963/07/08,-0.006852
1963/07/09,0.004328
1963/07/10,-0.001917
1963/07/11,-0.001961
1963/07/12,-0.001711
1963/07/15,-0.006277
1963/07/16,-0.000708
1963/07/17,-0.003144
1963/07/18,-0.005761
1963/07/19,-0.001794
1963/07/22,-0.006751
1963/07/23,0.000124
1963/07/24,0.005203
1963/07/25,-0.000488
1963/07/26,0.004012
1963/07/29,0.002023
1963/07/30,0.008796
1963/07/31,-0.001144
1963/08/01,-0.000813
1963/08/02,0.003154
1963/08/05,0.005986
1963/08/06,0.006968
1963/08/07,-0.002332
1963/08/08,0.001307
1963/08/09,0.006667
1963/08/12,0.002164
1963/08/13,0.002953
1963/08/14,0.003588
1963/08/15,0.004587
1963/08/16,0.001712
1963/08/19,-0.000622
1963/08/20,-0.000756
1963/08/21,-0.001475
1963/08/22,0.003721
1963/08/23,0.003625
1963/08/26,0.002103
1963/08/27,-0.004479
1963/08/28,0.007502
1963/08/29,0.001870
1963/08/30,0.004937
1963/09/03,0.002202
1963/09/04,-0.000372
1963/09/05,0.005093
1963/09/06,-0.002277
1963/09/09,-0.003209
1963/09/10,0.005856
1963/09/11,0.002963
1963/09/12,-0.000705
1963/09/13,0.000039
1963/09/16,-0.001443
1963/09/17,0.000852
1963/09/18,-0.004219
1963/09/19,0.005965
1963/09/20,0.001018
1963/09/23,-0.004528
1963/09/24,0.004602
1963/09/25,-0.005419
1963/09/26,-0.008605
1963/09/27,-0.002051
1963/09/30,-0.006123
1963/10/01,0.007546
1963/10/02,0.001177
1963/10/03,0.007268
1963/10/04,0.000315
1963/10/07,-0.002068
1963/10/08,-0.001281
1963/10/09,-0.005801
1963/10/10,0.000762
1963/10/11,0.001015
1963/10/14,0.000635
1963/10/15,0.001527
1963/10/16,0.009871
1963/10/17,0.002019
1963/10/18,0.000883
1963/10/21,0.000801
1963/10/22,-0.005647
1963/10/23,0.000579
1963/10/24,0.003897
1963/10/25,0.010069
1963/10/28,0.006355
1963/10/29,0.000347
1963/10/30,-0.008647
1963/10/31,0.002911
1963/11/01,-0.002318
1963/11/04,-0.004530
1963/11/06,-0.008005
1963/11/07,0.003491
1963/11/08,0.005827
1963/11/11,0.002281
1963/11/12,-0.003766
1963/11/13,0.000887
1963/11/14,-0.004624
1963/11/15,-0.007969
1963/11/18,-0.007062
1963/11/19,0.001099
1963/11/20,0.009566
1963/11/21,-0.013021
1963/11/22,-0.029088
1963/11/26,0.042711
1963/11/27,-0.001809
1963/11/29,0.013510
1963/12/02,0.005873
1963/12/03,-0.000377
1963/12/04,0.002588
1963/12/05,0.006553
1963/12/06,-0.003577
1963/12/09,-0.000475
1963/12/10,0.000776
1963/12/11,-0.001240
1963/12/12,0.000289
1963/12/13,0.001862
1963/12/16,0.003410
1963/12/17,0.005954
1963/12/18,-0.001342
1963/12/19,-0.002994
1963/12/20,-0.001556
1963/12/23,-0.006203
1963/12/24,0.002137
1963/12/26,0.004767
1963/12/27,0.001693
1963/12/30,0.001757
1963/12/31,0.005935
1964/01/02,0.005475
1964/01/03,0.001167
1964/01/06,0.002214
1964/01/07,0.000183
1964/01/08,0.003938
1964/01/09,0.003609
1964/01/10,-0.000397
1964/01/13,-0.000737
1964/01/14,0.002215
1964/01/15,0.003520
1964/01/16,-0.001017
1964/01/17,0.000073
1964/01/20,-0.001670
1964/01/21,0.003192
1964/01/22,0.005066
1964/01/23,0.000875
1964/01/24,0.000359
1964/01/27,-0.000489
1964/01/28,0.000415
1964/01/29,-0.006023
1964/01/30,0.000786
1964/01/31,0.004670
1964/02/03,-0.000587
1964/02/04,-0.000825
1964/02/05,-0.000779
1964/02/06,0.002446
1964/02/07,0.003903
1964/02/10,-0.001480
1964/02/11,0.003842
1964/02/12,0.003103
1964/02/13,0.001366
1964/02/14,-0.000808
1964/02/17,0.000196
1964/02/18,0.000306
1964/02/19,0.001168
1964/02/20,0.001084
1964/02/24,0.001091
1964/02/25,0.000617
1964/02/26,0.002770
1964/02/27,-0.003094
1964/02/28,0.002353
1964/03/02,0.002347
1964/03/03,0.003280
1964/03/04,-0.001849
1964/03/05,0.000111
1964/03/06,0.003289
1964/03/09,0.000233
1964/03/10,0.003619
1964/03/11,0.004701
1964/03/12,0.001722
1964/03/13,0.000843
1964/03/16,0.000271
1964/03/17,0.002404
1964/03/18,0.000947
1964/03/19,-0.001138
1964/03/20,-0.004782
1964/03/23,0.000224
1964/03/24,-0.001843
1964/03/25,0.002515
1964/03/26,0.002887
1964/03/30,-0.000709
1964/03/31,-0.001918
1964/04/01,0.003441
1964/04/02,0.005858
1964/04/03,0.002905
1964/04/06,0.000649
1964/04/07,-0.003636
1964/04/08,0.000034
1964/04/09,-0.000459
1964/04/10,0.002059
1964/04/13,-0.001008
1964/04/14,0.002873
1964/04/15,0.001451
1964/04/16,0.001223
1964/04/17,0.004403
1964/04/20,-0.000570
1964/04/21,0.000617
1964/04/22,-0.000552
1964/04/23,-0.001809
1964/04/24,-0.007844
1964/04/27,-0.005055
1964/04/28,0.007041
1964/04/29,-0.003308
1964/04/30,-0.002054
1964/05/01,0.008763
1964/05/04,0.004376
1964/05/05,0.005490
1964/05/06,0.002837
1964/05/07,0.001057
1964/05/08,-0.001879
1964/05/11,-0.000221
1964/05/12,0.003616
1964/05/13,-0.002172
1964/05/14,-0.001289
1964/05/15,0.002094
1964/05/18,-0.003608
1964/05/19,-0.005028
1964/05/20,0.004879
1964/05/21,0.000289
1964/05/22,0.000456
1964/05/25,-0.001129
1964/05/26,-0.001748
1964/05/27,-0.001523
1964/05/28,0.001508
1964/06/01,-0.003345
1964/06/02,-0.004969
1964/06/03,-0.002422
1964/06/04,-0.010424
1964/06/05,0.004734
1964/06/08,-0.004949
1964/06/09,0.006556
1964/06/10,0.003965
1964/06/11,0.003736
1964/06/12,-0.002208
1964/06/15,0.005158
1964/06/16,0.005666
1964/06/17,0.005317
1964/06/18,-0.000286
1964/06/19,0.001417
1964/06/22,0.002854
1964/06/23,-0.004265
1964/06/24,0.003732
1964/06/25,0.001966
1964/06/26,0.003164
1964/06/29,0.002252
1964/06/30,0.000547
1964/07/01,0.007028
1964/07/02,0.004014
1964/07/06,0.004701
1964/07/07,0.001786
1964/07/08,-0.000068
1964/07/09,0.001262
1964/07/10,0.001835
1964/07/13,-0.000750
1964/07/14,-0.003292
1964/07/15,0.003669
1964/07/16,0.003738
1964/07/17,0.004425
1964/07/20,-0.003432
1964/07/21,-0.002146
1964/07/22,-0.000060
1964/07/23,-0.000535
1964/07/24,-0.000268
1964/07/27,-0.004653
1964/07/28,-0.002596
1964/07/29,0.001128
1964/07/30,0.001919
1964/07/31,0.001168
1964/08/03,-0.002124
1964/08/04,-0.011838
1964/08/05,0.002472
1964/08/06,-0.009180
1964/08/07,0.006480
1964/08/10,-0.000472
1964/08/11,-0.000117
1964/08/12,0.005303
1964/08/13,0.003042
1964/08/14,-0.000814
1964/08/17,0.000332
1964/08/18,0.000696
1964/08/19,-0.000649
1964/08/20,-0.004595
1964/08/21,0.001566
1964/08/24,-0.002165
1964/08/25,-0.005522
1964/08/26,-0.001234
1964/08/27,0.005739
1964/08/28,0.003551
1964/08/31,-0.001938
1964/09/01,0.004662
1964/09/02,0.001623
1964/09/03,0.003081
1964/09/04,0.002270
1964/09/08,0.001525
1964/09/09,0.002356
1964/09/10,0.000860
1964/09/11,0.004136
1964/09/14,-0.002566
1964/09/15,-0.002358
1964/09/16,0.002872
1964/09/17,0.006682
1964/09/18,-0.003584
1964/09/21,0.004614
1964/09/22,0.000334
1964/09/23,0.000179
1964/09/24,0.001121
1964/09/25,0.002563
1964/09/28,0.000794
1964/09/29,-0.000403
1964/09/30,-0.000711
1964/10/01,-0.001378
1964/10/02,0.003157
1964/10/05,0.004534
1964/10/06,0.000513
1964/10/07,-0.000126
1964/10/08,0.003028
1964/10/09,0.001979
1964/10/12,0.000254
1964/10/13,-0.003042
1964/10/14,-0.001849
1964/10/15,-0.006374
1964/10/16,0.006749
1964/10/19,0.001362
1964/10/20,0.002991
1964/10/21,-0.000755
1964/10/22,-0.001756
1964/10/23,0.002361
1964/10/26,-0.001706
1964/10/27,-0.000046
1964/10/28,-0.003356
1964/10/29,0.000537
1964/10/30,0.001816
1964/11/02,0.004981
1964/11/04,-0.000020
1964/11/05,0.000525
1964/11/06,0.002317
1964/11/09,-0.000190
1964/11/10,-0.004043
1964/11/11,0.002714
1964/11/12,0.001362
1964/11/13,0.000378
1964/11/16,0.005201
1964/11/17,0.004853
1964/11/18,0.002429
1964/11/19,0.000041
1964/11/20,0.001028
1964/11/23,-0.002787
1964/11/24,-0.002912
1964/11/25,-0.002366
1964/11/27,-0.003251
1964/11/30,-0.008671
1964/12/01,-0.010252
1964/12/02,0.003700
1964/12/03,0.004169
1964/12/04,0.001883
1964/12/07,0.000031
1964/12/08,-0.003642
1964/12/09,-0.006550
1964/12/10,-0.000034
1964/12/11,0.002534
1964/12/14,-0.002421
1964/12/15,-0.002687
1964/12/16,0.004079
1964/12/17,0.003991
1964/12/18,0.004940
1964/12/21,0.000954
1964/12/22,-0.000362
1964/12/23,-0.001926
1964/12/24,-0.000086
1964/12/28,-0.000877
1964/12/29,-0.002969
1964/12/30,0.006130
1964/12/31,0.004799
1965/01/04,-0.005351
1965/01/05,0.004729
1965/01/06,0.003249
1965/01/07,0.004288
1965/01/08,0.001357
1965/01/11,0.000429
1965/01/12,0.002552
1965/01/13,0.002783
1965/01/14,-0.000044
1965/01/15,0.004412
1965/01/18,0.003050
1965/01/19,0.001993
1965/01/20,-0.000225
1965/01/21,-0.000981
1965/01/22,0.002436
1965/01/25,0.001466
1965/01/26,0.001316
1965/01/27,0.003107
1965/01/28,0.002578
1965/01/29,0.001145
1965/02/01,0.000486
1965/02/02,0.000445
1965/02/03,0.001341
1965/02/04,-0.000475
1965/02/05,-0.002653
1965/02/08,-0.003169
1965/02/09,0.003136
1965/02/10,-0.008697
1965/02/11,-0.010265
1965/02/12,0.006859
1965/02/15,-0.000946
1965/02/16,-0.004035
1965/02/17,0.001367
1965/02/18,0.003226
1965/02/19,0.001723
1965/02/23,0.005076
1965/02/24,0.006993
1965/02/25,0.000658
1965/02/26,0.002887
1965/03/01,-0.002137
1965/03/02,0.001905
1965/03/03,-0.000956
1965/03/04,-0.003189
1965/03/05,-0.001825
1965/03/08,0.000410
1965/03/09,-0.001370
1965/03/10,-0.001474
1965/03/11,0.004272
1965/03/12,0.003644
1965/03/15,0.000649
1965/03/16,-0.001327
1965/03/17,-0.001083
1965/03/18,-0.002316
1965/03/19,0.000274
1965/03/22,-0.000136
1965/03/23,0.000927
1965/03/24,0.001852
1965/03/25,-0.002863
