date,NFCP_M1
19970203,5.28
19970204,5.26
19970205,5.25
19970206,5.26
19970207,5.24
19970210,5.25
19970211,5.24
19970212,5.25
19970213,5.24
19970214,5.23
19970217,
19970218,5.23
19970219,5.24
19970220,5.27
19970221,5.24
19970224,5.24
19970225,5.24
19970226,5.27
19970227,5.27
19970228,5.23
19970303,5.32
19970304,5.27
19970305,5.28
19970306,5.26
19970307,5.27
19970310,5.28
19970311,5.25
19970312,5.27
19970313,5.27
19970314,5.31
19970317,5.3
19970318,5.31
19970319,5.33
19970320,5.36
19970321,5.4
19970324,5.44
19970325,5.51
19970326,5.51
19970327,5.55
19970328,5.55
19970331,5.56
19970401,5.53
19970402,5.51
19970403,5.51
19970404,5.5
19970407,5.5
19970408,5.5
19970409,5.5
19970410,5.48
19970411,5.49
19970414,5.5
19970415,5.5
19970416,5.49
19970417,5.48
19970418,5.47
19970421,5.47
19970422,5.46
19970423,5.47
19970424,5.46
19970425,5.48
19970428,5.48
19970429,5.53
19970430,5.5
19970501,5.5
19970502,5.47
19970505,5.5
19970506,5.49
19970507,5.49
19970508,5.52
19970509,5.52
19970512,5.51
19970513,5.51
19970514,5.5
19970515,5.53
19970516,5.53
19970519,5.54
19970520,5.57
19970521,5.49
19970522,5.49
19970523,5.49
19970526,
19970527,5.5
19970528,5.5
19970529,5.48
19970530,5.53
19970602,5.53
19970603,5.53
19970604,5.51
19970605,5.5
19970606,5.49
19970609,5.5
19970610,5.48
19970611,5.48
19970612,5.5
19970613,5.49
19970616,5.51
19970617,5.51
19970618,5.49
19970619,5.51
19970620,5.51
19970623,5.51
19970624,5.51
19970625,5.51
19970626,5.51
19970627,5.52
19970630,5.53
19970701,5.49
19970702,5.54
19970703,5.48
19970704,
19970707,5.48
19970708,5.47
19970709,5.48
19970710,5.47
19970711,5.46
19970714,5.46
19970715,5.49
19970716,5.47
19970717,5.47
19970718,5.48
19970721,5.48
19970722,5.47
19970723,5.46
19970724,5.48
19970725,5.47
19970728,5.48
19970729,5.47
19970730,5.49
19970731,5.49
19970801,5.48
19970804,5.47
19970805,5.47
19970806,5.47
19970807,5.47
19970808,5.47
19970811,5.49
19970812,5.5
19970813,5.5
19970814,5.48
19970815,5.49
19970818,5.49
19970819,5.47
19970820,5.47
19970821,5.48
19970822,5.46
19970825,5.48
19970826,5.46
19970827,5.5
19970828,5.49
19970829,5.48
19970901,
19970902,5.49
19970903,5.49
19970904,5.49
19970905,5.47
19970908,5.47
19970909,5.47
19970910,5.48
19970911,5.48
19970912,5.48
19970915,5.49
19970916,5.49
19970917,5.48
19970918,5.48
19970919,5.49
19970922,5.49
19970923,5.49
19970924,5.49
19970925,5.49
19970926,5.49
19970929,5.51
19970930,5.51
19971001,5.48
19971002,5.49
19971003,5.48
19971006,5.48
19971007,5.47
19971008,5.47
19971009,5.46
19971010,5.48
19971013,
19971014,5.48
19971015,5.48
19971016,5.47
19971017,5.48
19971020,5.48
19971021,5.49
19971022,5.49
19971023,5.48
19971024,5.49
19971027,5.48
19971028,5.51
19971029,5.51
19971030,5.52
19971031,5.53
19971103,5.51
19971104,5.54
19971105,5.51
19971106,5.5
19971107,5.51
19971110,5.53
19971111,
19971112,5.53
19971113,5.53
19971114,5.52
19971117,5.54
19971118,5.54
19971119,5.52
19971120,5.52
19971121,5.5
19971124,5.53
19971125,5.52
