caldt,vwretd
1963/07/31,-0.001821
1963/08/30,0.053466
1963/09/30,-0.010402
1963/10/31,0.034825
1963/11/29,-0.004487
1963/12/31,0.026065
1964/01/31,0.027391
1964/02/28,0.017015
1964/03/31,0.017232
1964/04/30,0.006192
1964/05/28,0.016815
1964/06/30,0.018084
1964/07/31,0.018910
1964/08/31,-0.011621
1964/09/30,0.030399
1964/10/30,0.008745
1964/11/30,0.001598
1964/12/31,0.005228
1965/01/29,0.034791
1965/02/26,0.003746
1965/03/31,-0.012213
1965/04/30,0.035612
1965/05/28,-0.003122
1965/06/30,-0.046880
1965/07/30,0.014486
1965/08/31,0.027560
1965/09/30,0.033366
1965/10/29,0.028812
1965/11/30,-0.003821
1965/12/31,0.010349
1966/01/31,0.005705
1966/02/28,-0.012750
1966/03/31,-0.023041
1966/04/29,0.022158
1966/05/31,-0.049140
1966/06/30,-0.014380
1966/07/29,-0.012129
1966/08/31,-0.071650
1966/09/30,-0.006244
1966/10/31,0.048333
1966/11/30,0.011223
1966/12/30,0.000326
1967/01/31,0.079215
1967/02/28,0.007514
1967/03/31,0.041137
1967/04/28,0.043371
1967/05/31,-0.046810
1967/06/30,0.019319
1967/07/31,0.046454
1967/08/31,-0.006824
1967/09/29,0.033815
1967/10/31,-0.027448
1967/11/30,0.006435
1967/12/29,0.027079
1968/01/31,-0.041875
1968/02/29,-0.026900
1968/03/29,0.009696
1968/04/30,0.084092
1968/05/31,0.016374
1968/06/28,0.009916
1968/07/30,-0.017444
1968/08/30,0.016415
1968/09/30,0.039351
1968/10/31,0.008587
1968/11/29,0.053580
1968/12/31,-0.040826
1969/01/31,-0.007547
1969/02/28,-0.042321
1969/03/28,0.034847
1969/04/30,0.022771
1969/05/29,0.003854
1969/06/30,-0.054357
1969/07/31,-0.058632
1969/08/29,0.045728
1969/09/30,-0.023941
1969/10/31,0.046900
1969/11/28,-0.029152
1969/12/31,-0.016922
1970/01/30,-0.075398
1970/02/27,0.059521
1970/03/31,0.002806
1970/04/30,-0.088831
1970/05/29,-0.054689
1970/06/30,-0.049032
1970/07/31,0.075523
1970/08/31,0.049778
1970/09/30,0.034702
1970/10/30,-0.009032
1970/11/30,0.054387
1970/12/31,0.058684
1971/01/29,0.042828
1971/02/26,0.013317
1971/03/31,0.039068
1971/04/30,0.036965
1971/05/28,-0.037150
1971/06/30,0.002439
1971/07/30,-0.040827
1971/08/31,0.042036
1971/09/30,-0.005038
1971/10/29,-0.040129
1971/11/30,0.002898
1971/12/31,0.087880
1972/01/31,0.019088
1972/02/29,0.030221
1972/03/30,0.007315
1972/04/28,0.005476
1972/05/31,0.022019
1972/06/30,-0.020156
1972/07/31,0.003245
1972/08/31,0.039425
1972/09/29,-0.003277
1972/10/31,0.010878
1972/11/30,0.050297
1972/12/29,0.013663
1973/01/31,-0.016752
1973/02/28,-0.033818
1973/03/30,-0.001093
1973/04/30,-0.040064
1973/05/31,-0.013950
1973/06/29,-0.005178
1973/07/31,0.039128
1973/08/31,-0.031544
1973/09/28,0.042219
1973/10/31,0.000312
1973/11/30,-0.107220
1973/12/31,0.017971
1974/01/31,-0.008120
1974/02/28,0.001992
1974/03/29,-0.021818
1974/04/30,-0.037649
1974/05/31,-0.026896
1974/06/28,-0.012816
1974/07/31,-0.076698
1974/08/30,-0.082177
1974/09/30,-0.117511
1974/10/31,0.168113
1974/11/29,-0.045688
1974/12/31,-0.018021
1975/01/31,0.123610
1975/02/28,0.067460
1975/03/31,0.024014
1975/04/30,0.049424
1975/05/30,0.051193
1975/06/30,0.046220
1975/07/31,-0.065504
1975/08/29,-0.015663
1975/09/30,-0.032250
1975/10/31,0.064855
1975/11/28,0.030089
1975/12/31,-0.010485
1976/01/30,0.120143
1976/02/27,-0.005756
1976/03/31,0.032640
1976/04/30,-0.009610
1976/05/28,-0.008116
1976/06/30,0.043959
1976/07/30,-0.007202
1976/08/31,0.001599
1976/09/30,0.024421
1976/10/29,-0.020211
1976/11/30,-0.001041
