,yyyymm,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,d/p,d/y,e/p,d/e,ret (S&P 500 annualized log return including dividends)
1,192701,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050833676,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,-2.942374495,-2.963349047,-2.374773288,-0.567601208,-0.005579
2,192702,0.428500864,0.0329,0.0467,0.0559,0.0347,0.051681867,0.002741667,-0.005714286,0.0088,0.0069,0.000287334,-2.979534686,-2.932945854,-2.430352781,-0.549181905,0.040566
3,192703,0.469765117,0.032,0.0462,0.0554,0.0331,0.046370255,0.002666667,-0.005747126,0.0253,0.0083,0.000924193,-2.976535097,-2.970053259,-2.445078688,-0.531456408,0.00261
4,192704,0.45675413,0.0339,0.0458,0.0548,0.0333,0.050518396,0.002825,0,-0.0005,0.0055,0.000602589,-2.98422499,-2.967142724,-2.471308627,-0.512916363,0.010907
5,192705,0.434782609,0.0333,0.0457,0.055,0.0327,0.055279445,0.002775,0.005780347,0.0109,-0.0011,0.000391734,-3.025963334,-2.975058259,-2.531445828,-0.494517506,0.057096
6,192706,0.452385249,0.0307,0.0458,0.0555,0.0334,0.058826257,0.002558333,0.011494253,-0.0069,0.0043,0.000824577,-3.007308841,-3.016742874,-2.531329949,-0.475978892,-0.025705
7,192707,0.414553473,0.0296,0.046,0.0555,0.0333,0.059754328,0.002466667,-0.017045455,0.005,0.0003,0.00042578,-3.061144242,-2.998172622,-2.603707368,-0.457436875,0.081687
8,192708,0.396227409,0.027,0.0456,0.0548,0.0329,0.054525517,0.00225,-0.005780347,0.0076,0.0083,0.001276414,-3.095764479,-3.052225264,-2.656741691,-0.439022789,0.028624
9,192709,0.380586062,0.0268,0.0454,0.0542,0.033,0.094616711,0.002233333,0.005813953,0.0018,0.0149,0.001123349,-3.129096986,-3.086791005,-2.707758528,-0.421338457,0.049095
10,192710,0.413800693,0.0308,0.0451,0.0538,0.0325,0.094370476,0.002566667,0.005780347,0.0099,0.0055,0.001559337,-3.065649787,-3.120203318,-2.662875402,-0.402774385,-0.04896
11,192711,0.379395591,0.0304,0.0449,0.0535,0.032,0.082270053,0.002533333,-0.005747126,0.0097,0.0068,0.000929659,-3.122543244,-3.056965522,-2.73821796,-0.384325284,0.06427
12,192712,0.37468859,0.0317,0.0446,0.0532,0.0316,0.07647361,0.002641667,0,0.0072,0.0068,0.000604204,-3.132666959,-3.113803868,-2.76694218,-0.365724779,0.014403
13,192801,0.378669621,0.0331,0.0446,0.0535,0.0321,0.062604541,0.002758333,0,-0.0036,0.0027,0.000860526,-3.118894006,-3.124003299,-2.74132392,-0.377570086,-0.0092
14,192802,0.386076599,0.0333,0.0446,0.0533,0.0318,0.055171815,0.002775,-0.011560694,0.0061,0.0068,0.000691124,-3.0926312,-3.110432417,-2.704291342,-0.388339859,-0.016679
